RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
United States,0,116.9850148,116.927593,117.1652771,117.1875,116.9423154,116.1247512,115.0092081,113.7052759,113.0347826,112.0113205,111.1111111,108.8068182,107.3453608,106.6030231,107.8802206,107.7265973,109.0975255,109.2556634,109.1240876,108.8709677,108.6581709,108.0058939,106.9444444,106.0139454,105.4301834,105.6711546,106.867985,107.3040061,107.7493261,107.834507,107.826087,107.3694566,107.4434787,107.0714286,106.4336775,105.8566978,105.8060109,107.1428571,109,111.113441,112.7554616,113.6363636,113.5732323,113.5802469,114.0065147,113.5842729,113.5542169,112.4100719,112.3173278,113.710555,115.6723063,118.0173092,119.7709924,120.2485966,120.4399918,120.242915,120.1060762,119.870964,119.3603412,118.2981446,118.8271605,119.548082,121.1453744,123.5177866,126.1303891,126.6163793,126.1064915,125.7894737,125.9156219,126.1319534,125.8308157,124.9468085,124.8506571,126.6681425,129.1316729,131.7005545,133.1018519,133.7078652,133.6182336,133.2153691,133.6363636,133.6627907,132.9298457,131.825273,131.6123286,133.282559,135.4716227,137.9646018,139.9629005,140.6915963,140.3639144,139.8251748,140.2516854,140.3654485,139.8601399,138.7925052,139.2617558,141.368114,143.6440678,146.5659307,148.186538,149.158378,149.375,149.0825688,150,150.3597122,150.1501502,149.1128929,149.1415705,150.2511592,152.3994812,155.141844,155.8898305,156.3569881,155.8519127,155.2393273,155.3763441
"New York, NY",1,235.6189554,234.2708333,237.6681614,237.3548405,241.3635123,241.3674033,238.3716665,235.2937353,236.9826938,235.9821429,235.0572933,232.8221266,231.3508065,226.5372168,230.7236062,228.5714286,228.2199063,226.4012711,224.4857143,223.3104238,222.1697824,221.0074477,219.270746,219.1481405,218.2235808,219.0188585,219.7776201,222.5609756,223.4435523,221.6654905,219.7197197,217.6056338,218.6924494,218.5670134,216.3260915,214.8186262,216.5598644,218.5832969,221.5815486,222.4409449,222.6769388,221.1538462,220.4473629,218.6046512,219.6,220.3689994,225.5897436,224.0348449,226.3135631,229.1666667,231.6159984,234.7700458,237.849753,241.6052416,238.8315603,237.5675676,237.5864055,237.7520277,237.7204236,239.1949852,241.4197174,239.8279458,240,241.5384615,238.9462249,241.4266118,244.143682,243.0090598,242.6180311,243.2886407,243.1993504,241.5925063,249.1496389,249.207607,245.8912769,251.751518,250.2126528,250,248.5086993,246.1283186,247.9671995,249.1815476,250.777652,249.4012546,252.8785842,255.8253586,257.2916667,258.4156716,263.5914333,264.2621145,264.2731018,260.677827,264.3161279,266.8839365,269.7297297,271.0519066,272.4084178,265.328125,258.6206897,263.5714286,268.7467001,268.9239332,269.0288714,267.85,271.4315588,273.4375,273.7797555,274.7252747,277.4749722,275.9831461,278.5357143,283.3604098,282.0710974,282.9754601,280.7881773,279.8030345,283.1585441
"Los Angeles-Long Beach-Anaheim, CA",2,280.9598393,277.4082841,280.2249972,280.8286517,280.3387663,278.8724036,276.4331046,276.7402377,271.8558804,267.8571429,266.4179104,260.7792921,257.8004299,257.7319588,257.4430895,256.2151192,256.7750678,257.0579495,256.097873,254.2428198,251.1230944,248.4256211,244.6001168,241.1014103,240.2253148,240.8549837,243.0583717,245.1255954,248.7545666,253.4066423,256.497948,257.915947,258.8230553,259.4946291,261.657995,264.329438,270.1843611,277.2087068,289.7286822,300.8854499,310.1214575,317.6043557,322.0962592,323.9875389,325.9709898,325.3298669,325.1231527,323.6363636,324.4,327.2802083,329.4048321,335.0515464,339.2857143,342.1238167,343.311068,342.5493442,343.5498945,342.4724602,343.1372549,339.1544118,337.8378378,343.0952256,347.3513011,353.1456954,359.0354517,360.9582181,362.4651422,364.2638037,364.9474172,366.0422847,364.58914,365.7577385,368.0881677,373.280943,377.5167785,380.8933002,383.2070707,386.8473871,387.9310345,387.5,387.9903002,388.507146,388.6105142,387.630662,390.6245117,392.8571429,399.543379,403.8453865,406.9767442,406.9085049,407.6376554,408.1852625,408.9422028,410.4477612,411.9454171,411.6465863,414.2059058,420.8831129,422.4827333,426.0396673,428.8711734,431.770557,430.9210526,429.9443601,430.5974675,431.6247936,430.9850883,428.5357143,428.4452297,429.8418972,433.0040146,435.0694562,435.683675,436.9670514,438.7129724,438.0388331,439.7394137
"Chicago, IL",3,153.1313895,153.0167749,153.6198736,153.1851969,151.5411824,150.8922448,148.2047605,146.9949081,142.3546502,142.4319728,140.3476283,135.9863946,133.1446067,131.5789474,132.2922181,132.6061321,133.0523514,132.1022727,130.9049516,129.081912,127.6541408,125.0954912,122.2222222,119.4459533,118.9300777,119.3537814,119.7916667,120.4365383,120.830914,121.0052255,118.2765152,117.0835876,116.3977375,115.3838462,114.7020043,112.549795,112.025511,114.2285714,117.1428571,120.1694631,123.666703,125.2710027,124.625987,124.4294606,124.9252601,123.6633663,122.1716885,120.2777778,119.2307692,122.608809,127.2243427,130.5483029,134.2653747,136.85841,135.9872411,135.2395672,134.1463415,133.2121212,131.6779533,129.5524691,128.3533472,130.9946029,135.5846774,138.1281407,142.7030457,143.9859868,143.3706882,142.4118248,141.407355,140.4896219,139.0706806,136.8317803,136.3420428,140.1581722,143.9090909,147.3834684,149.5275591,152.0681265,151.095994,149.3872549,148.9077068,148.9292365,148.019802,145.8172458,145.7567069,149.365942,153.1441601,155.9224319,157.0680628,158.0273578,157.4530142,156.1631944,155.8474576,155.2739166,153.9664648,152.1131569,152.274675,156.9073783,162.3194203,166.1706349,166.7398932,167.2688993,166.9254658,166.5789474,166.6666667,165.9889071,165.5625,164.4628099,165,167.6136364,170.2357791,172.6224784,170.9055871,170.3901437,169.0328023,167.0467503,166.1963742
"Dallas-Fort Worth, TX",4,83.96946565,84.2555017,85.07006122,85.56326396,85.77374272,85.42601843,85.09833585,84.45945946,83.96358543,83.83675736,83.53230337,82.35294118,81.60167549,81.6466933,81.88481685,82.16292135,82.91854181,82.78143291,82.68965517,82.41546178,82.03991131,82.47139772,82.23684211,81.80300501,81.80428135,82.8372434,83.21273517,84.15414146,85.39027982,85.82089552,85.05402426,84.65608466,84.30989583,84.67309753,85.37030281,85.76476527,85.70855078,86.99941962,89.47575877,90.75790772,91.7203768,92.23481937,92.38362681,92.54906175,92.54206731,92.88090486,93.0927435,93.46701164,94.37859253,95.77278144,97.13846154,98.24790862,99.68649481,98.08180957,98.58199753,100.7708272,100.8715596,101.589208,102.4361608,104.4253227,106.1963187,106.7179049,110,110.6434155,109.6533567,109.8505654,109.917576,110.0880705,110.6406344,111.912053,112.3874051,113.9855942,114.7342995,114.949655,117.4358974,118.8331345,119.9028061,120.5973589,120.8525067,121.3930131,122.1040189,124.0169109,123.6736389,124.2329088,125.4770673,126.6697164,128.1774329,129.6420999,130.2262401,130.6156406,130.2785265,130.3372359,130.9979839,131.3243019,131.378835,132.0232651,133.3222586,134.8039216,136.2164113,137.2669462,137.9153596,137.7732653,137.3294858,136.6775838,137.3359073,137.3264569,137.4118263,137.1569704,137.1493056,137.3707533,138.5018984,139.8396084,139.6231643,139.7515528,139.4906419,139.2827851,139.3150769
"Philadelphia, PA",5,143.1936653,143.997599,145.6295665,145.0083659,144.8150786,144.0690396,142.9061785,141.5833333,140.9205102,139.3588061,138.4282624,136.1452428,134.9,134.8350254,135.6625961,135.6677524,136.0717046,135.4545455,134.1942149,133.28,131.6242357,130.4951685,129.2545252,127.764566,127.4038462,127.7955272,129.4285714,129.472693,129.1666667,129.0302827,128.0443397,126.8697124,126.1784512,125.5707763,124.5929256,123.6328125,122.8822423,124.4982699,126.8930961,128.2689913,130.5535398,131.1548478,129.2657704,127.4031764,127.608209,127.0833333,126.8461538,126.2886598,124.3055556,124.7109827,128.5019282,131.3455247,132.5072046,132.3529412,130.8539945,129.9350122,130.0800801,129.3588301,128.6212139,126.6591252,125.2983294,126.7042254,129.7740312,132.9299645,134.4817694,134.2159612,132.5819043,131.1698191,130.7052298,130.4752066,129.8419797,127.4725124,126.4558314,127.4995871,130.2901558,133.5697648,134.6409924,134.6133918,133.7120899,132.3916371,132.4837813,132.0686065,130.8533248,128.0487805,127.9507369,129.5855496,132.4745259,135.6374808,137.5114679,137.831749,137.2154464,135.5499613,136.3357843,137.3956467,136.5736827,134.3413978,133.5079867,135.9474854,137.7201528,141.0315789,142.5718787,144.8275862,144.7905563,143.7088963,143.3466135,144.0217391,143.1891892,142.2575326,142.3580599,142.3580599,146.2655043,149.3428913,151.0574018,152.6985743,151.6655227,150.5593804,151.1097676
"Houston, TX",6,81.05520615,81.66666667,81.96028728,81.97609264,81.86440678,81.71332928,80.57813911,80.11310085,80.76579852,80.17366369,80.22098536,79.47337152,79.06630553,79.01050496,79.30755053,79.05792322,79.46623094,79.53931234,79.08335998,78.89200561,77.72020725,78.47383721,77.9751883,78.30985915,78.59454461,78.73988596,79.50414123,80.46979866,80.93704671,81.11794933,80.68375949,80.8796506,81.23752495,81.09583362,81.44192256,82.46253251,82.89889798,85.07223114,86.24170753,87.08511337,88.1343817,89.18314984,89.57004658,89.83119842,90.79827008,92.39862837,91.86200615,92.44248549,93.42570989,95.40034072,96.69498058,98.81016766,99.43046986,99.84871407,100.3283473,101.5860401,102.9792746,103.8966194,105.1245981,107.4434061,109.5576043,110.3748595,111.2157534,112.975,111.6678975,110.1707969,112.2707153,112.9592501,113.1877023,114.1048689,114.0881215,115.6028076,115.6713596,113.4971574,114.6110496,114.6788991,114.8364828,114.825525,114.4938214,114.2583643,114.050791,114.5125453,113.9949109,114.3110376,115.0086256,115.7794859,116.1369193,116.6263603,116.8037468,116.7660455,116.283449,116.2798239,116.9304004,116.9662773,117.3136977,118.1363636,118.5112635,119.0738759,119.9079377,120.3656781,120.5694364,120.409112,120.0923788,120.0147205,120.147364,120.2789132,120.51608,120.8927888,121.5371388,121.9456983,122.1333333,123.0375233,123.0825383,123.1446182,122.9298728,122.8362184,123.1461864
"Washington, DC",7,182.171875,182.3368325,186.291245,192.2309225,191.8267309,188.6560442,187.0985011,182.5247783,178.5097789,178.3910152,176.8840667,172.1553144,168.0960917,167.2580071,170.7309288,173.3436055,177.4470521,177.9846659,177.228949,175.4340222,175.5852843,174.2731728,170.8945251,167.7559913,166.4988381,168.6507937,174.5614035,178.8034699,182.336091,183.1034483,180.7175548,177.9581152,179.2079208,178.7988506,177.991453,173.3221477,173.4809764,177.184466,184.0863636,191.7080584,195.3582586,196.6793248,194.3006582,193.5336976,197.6127321,196.3681592,194.5104749,189.1427812,186.8438486,190.7471395,195.0828157,198.8009317,203.7245257,203.7845706,201.9710328,199.5075039,200.0769613,199.875,197.5578699,192.4701916,189.5337377,191.3471106,196.11371,200.6919987,204.081024,203.6363636,196.7703349,200,201.1186791,201.091954,198.6552567,196.6820988,195.7738932,199.9948718,205.2280363,211.9098712,213.0681818,213.7562366,212.4916999,209.4173976,211.5343915,212.7659574,211.5331197,208.1924716,206.9689542,210.939554,214.4477318,218.9880952,220.8754823,221.810089,219.73466,217.3370408,220.5022018,220.4918033,218.2758621,214.27,212.8414414,216.8146751,221.4571021,226.5545583,226.9379907,226.9716627,227.6490066,224.801061,227.1763757,227.5716695,228.1879195,223.9818174,222.057735,224.303609,231.350365,235.8193493,236.4829268,237.0934959,235.2941176,234.5858798,238.1767913
"Miami-Fort Lauderdale, FL",8,151.5143308,150.5778784,147.0588235,144.3638187,144.2542787,140.681676,137.6019251,135.8742095,133.074216,131.1728395,133.276894,130.3288117,128.9637306,131.6241685,128.8015311,124.6635901,126.6328979,126.4951069,127.0586479,128.1760937,130.0410678,130.7757072,132.183908,134.0930736,133.2940771,132.3943662,134.4857896,133.2997988,132.4046042,132.2929546,136.6287016,136.702348,138.7720774,127.0964148,129.1276979,131.1731891,134.9764466,137.7952756,139.8939929,142.2816472,143.2767264,144.2112853,144.6435622,144.2028986,145.9805825,148.4248425,152.8384279,153.7016159,155.9969582,157.3677582,157.2767226,158.6452763,158.1710833,160,159.1527065,159.2427699,160.5006105,161.3423959,166.6666667,168.2659933,168.3617557,168.8781665,168.9847322,169.0590112,167.7479493,168.452381,172.2652885,173.5889582,174.3778968,175.9530792,181.6298343,182.9587036,186.2197393,188.5534161,188.5445768,191.4147332,192.6194646,194.6817546,196.1145942,196.8436921,199.6271499,201.829653,203.4482759,204.6111869,204.5311517,205.5735931,205.8801506,206.6115702,208.1748691,209.209525,209.3127661,209.0488626,211.5327896,210.7764391,213.8263666,215.8783784,216,216.0894661,216.5974675,217.2748987,217.2114028,217.0677026,217.2024327,217.2675522,218.611226,219.4402617,221.6017817,223.5628105,222.4240515,221.5608231,220.7792208,221.4936047,221.3547388,221.8091698,221.4622642,222.8863133,224.161985
"Atlanta, GA",9,93.48290598,93.22033898,93.95050412,94.37176522,93.03448276,91.38186082,90.22273566,88.20798514,87.73784304,87.06434316,85.5103003,82.6446281,80.44243338,79.93728826,78.97111913,77.37831858,77.82994377,77.5974026,76.79723923,76.07033639,75.66952763,74.96042604,73.63092499,72.35968618,71.27074752,71.92766132,72.4527286,72.37509051,73.85159011,75,76.31055076,75.73632539,77.35849057,78.86891714,79.13057447,79.65735061,80.2919708,82.52063016,84.46088795,86.90402477,88.93280632,90.32404538,90.75854701,90.53773485,91.13196987,90.93957645,90.62953764,89.5303516,89.49887029,91.17281392,92.78897137,95.6284153,96.8974711,97.23053892,96.76535088,96.58791213,96.43478261,95.80965909,94.72159333,94.55327281,94.39518787,95.72775486,96.12724758,96.68393743,98.6136685,99.37238494,97.90982691,97.98129,97.69351056,97.95588249,97.37283021,96.85448251,97.06584674,99.30189441,101.5155249,103.7771188,105.4087356,105.6357872,105.7801822,106.0346659,105.7587549,106.7420454,106.3458019,105.4356271,105.3639847,107.42637,110.3952991,112.4859393,113.6058981,114.5242461,114.7988506,114.7351525,114.9140625,115.6270096,114.945367,115.4881859,116.2076644,117.4932316,120.6140351,123.3783575,124.467272,124.8664642,125,124.4595462,125,125.0919794,125.261594,125.2084509,125.6521739,125.51891,127.9177976,131.403118,131.2135356,131.7702553,131.3135,131.3210227,132.25058
